Model has been successfully loaded from models/lrw_resnet18_mstcn_adamw_s3.pth.tar
----------
Epoch 0/79
Current learning rate: 0.0003
[ 4202/10493 (40%)]	Loss: 0.9611	Acc:0.8276	Cost time:0.177 (0.182)s	Data time:0.022 (0.025)	Instances per second: 10.96
[ 4302/10493 (41%)]	Loss: 0.9669	Acc:0.8256	Cost time:0.177 (0.182)s	Data time:0.022 (0.025)	Instances per second: 10.97
[ 4402/10493 (42%)]	Loss: 0.9683	Acc:0.8251	Cost time:0.177 (0.182)s	Data time:0.022 (0.025)	Instances per second: 10.98
[ 4502/10493 (43%)]	Loss: 0.9618	Acc:0.8260	Cost time:0.176 (0.182)s	Data time:0.022 (0.024)	Instances per second: 10.99
[ 4602/10493 (44%)]	Loss: 0.9702	Acc:0.8245	Cost time:0.176 (0.182)s	Data time:0.022 (0.024)	Instances per second: 10.99
[ 4702/10493 (45%)]	Loss: 0.9722	Acc:0.8243	Cost time:0.177 (0.182)s	Data time:0.023 (0.024)	Instances per second: 11.00
[ 4802/10493 (46%)]	Loss: 0.9730	Acc:0.8244	Cost time:0.177 (0.182)s	Data time:0.022 (0.024)	Instances per second: 11.01
[ 4902/10493 (47%)]	Loss: 0.9727	Acc:0.8250	Cost time:0.176 (0.182)s	Data time:0.022 (0.024)	Instances per second: 11.01
[ 5002/10493 (48%)]	Loss: 0.9661	Acc:0.8265	Cost time:0.177 (0.181)s	Data time:0.022 (0.024)	Instances per second: 11.02
[ 5102/10493 (49%)]	Loss: 0.9610	Acc:0.8278	Cost time:0.177 (0.181)s	Data time:0.022 (0.024)	Instances per second: 11.03
[ 5202/10493 (50%)]	Loss: 0.9635	Acc:0.8275	Cost time:0.177 (0.181)s	Data time:0.022 (0.024)	Instances per second: 11.03
[ 5302/10493 (51%)]	Loss: 0.9622	Acc:0.8279	Cost time:0.176 (0.181)s	Data time:0.022 (0.024)	Instances per second: 11.04
[ 5402/10493 (51%)]	Loss: 0.9578	Acc:0.8288	Cost time:0.176 (0.181)s	Data time:0.022 (0.024)	Instances per second: 11.04
[ 5502/10493 (52%)]	Loss: 0.9614	Acc:0.8288	Cost time:0.177 (0.181)s	Data time:0.022 (0.024)	Instances per second: 11.05
[ 5602/10493 (53%)]	Loss: 0.9634	Acc:0.8277	Cost time:0.178 (0.181)s	Data time:0.022 (0.024)	Instances per second: 11.05
[ 5702/10493 (54%)]	Loss: 0.9637	Acc:0.8276	Cost time:0.178 (0.181)s	Data time:0.022 (0.024)	Instances per second: 11.05
[ 5802/10493 (55%)]	Loss: 0.9647	Acc:0.8274	Cost time:0.178 (0.181)s	Data time:0.023 (0.024)	Instances per second: 11.06
[ 5902/10493 (56%)]	Loss: 0.9695	Acc:0.8260	Cost time:0.177 (0.181)s	Data time:0.022 (0.024)	Instances per second: 11.06
[ 6002/10493 (57%)]	Loss: 0.9684	Acc:0.8265	Cost time:0.179 (0.181)s	Data time:0.022 (0.024)	Instances per second: 11.06
[ 6102/10493 (58%)]	Loss: 0.9659	Acc:0.8263	Cost time:0.179 (0.181)s	Data time:0.023 (0.024)	Instances per second: 11.06
[ 6202/10493 (59%)]	Loss: 0.9662	Acc:0.8261	Cost time:0.178 (0.181)s	Data time:0.022 (0.024)	Instances per second: 11.06
[ 6302/10493 (60%)]	Loss: 0.9685	Acc:0.8252	Cost time:0.221 (0.181)s	Data time:0.022 (0.024)	Instances per second: 11.06
[ 6402/10493 (61%)]	Loss: 0.9659	Acc:0.8257	Cost time:0.178 (0.181)s	Data time:0.022 (0.024)	Instances per second: 11.06
[ 6502/10493 (62%)]	Loss: 0.9644	Acc:0.8259	Cost time:0.177 (0.181)s	Data time:0.022 (0.024)	Instances per second: 11.06
[ 6602/10493 (63%)]	Loss: 0.9645	Acc:0.8255	Cost time:0.176 (0.181)s	Data time:0.022 (0.024)	Instances per second: 11.07
[ 6702/10493 (64%)]	Loss: 0.9615	Acc:0.8258	Cost time:0.176 (0.181)s	Data time:0.022 (0.024)	Instances per second: 11.07
[ 6802/10493 (65%)]	Loss: 0.9622	Acc:0.8260	Cost time:0.176 (0.181)s	Data time:0.022 (0.024)	Instances per second: 11.08
[ 6902/10493 (66%)]	Loss: 0.9612	Acc:0.8258	Cost time:0.174 (0.181)s	Data time:0.021 (0.024)	Instances per second: 11.08
[ 7002/10493 (67%)]	Loss: 0.9602	Acc:0.8254	Cost time:0.174 (0.180)s	Data time:0.021 (0.024)	Instances per second: 11.08
[ 7102/10493 (68%)]	Loss: 0.9573	Acc:0.8257	Cost time:0.174 (0.180)s	Data time:0.021 (0.024)	Instances per second: 11.09
[ 7202/10493 (69%)]	Loss: 0.9566	Acc:0.8259	Cost time:0.174 (0.180)s	Data time:0.021 (0.024)	Instances per second: 11.10
[ 7302/10493 (70%)]	Loss: 0.9571	Acc:0.8256	Cost time:0.174 (0.180)s	Data time:0.021 (0.023)	Instances per second: 11.10
[ 7402/10493 (71%)]	Loss: 0.9556	Acc:0.8259	Cost time:0.175 (0.180)s	Data time:0.022 (0.023)	Instances per second: 11.10
